layer_idx,step_idx,head_idx,plane_idx,reads_count
4,0,3,1,11
4,0,3,2,11
4,0,3,3,11
4,0,3,4,10
4,0,3,5,10
4,0,3,6,12
4,0,3,7,14
4,0,3,8,15
4,0,3,9,12
4,0,3,10,11
4,0,3,11,12
4,0,3,12,11
4,0,3,13,10
4,0,3,14,11
4,0,3,15,7
4,0,3,16,11
4,0,3,17,11
4,0,3,18,9
4,0,3,19,7
4,0,3,20,9
4,0,3,21,10
4,0,3,22,12
4,0,3,23,13
4,0,3,24,12
4,0,3,25,15
4,0,3,26,16
4,0,3,27,13
4,0,3,28,14
4,0,3,29,15
4,0,3,30,15
4,0,3,31,11
4,0,4,0,9
4,0,4,1,7
4,0,4,2,11
4,0,4,3,9
4,0,4,4,10
4,0,4,5,10
4,0,4,6,14
4,0,4,7,15
4,0,4,8,13
4,0,4,9,12
4,0,4,10,12
4,0,4,11,12
4,0,4,12,10
4,0,4,13,13
4,0,4,14,12
4,0,4,15,16
4,0,4,16,9
4,0,4,17,7
4,0,4,18,8
4,0,4,19,8
4,0,4,20,7
4,0,4,21,17
4,0,4,22,16
4,0,4,23,11
4,0,4,24,10
4,0,4,25,10
4,0,4,26,9
4,0,4,27,15
4,0,4,28,12
4,0,4,29,15
4,0,4,30,16
4,0,4,31,13
4,0,5,0,15
4,0,5,1,15
4,0,5,2,13
4,0,5,3,13
4,0,5,4,11
4,0,5,5,10
4,0,5,6,11
4,0,5,7,11
4,0,5,8,12
4,0,5,9,13
4,0,5,10,14
4,0,5,11,12
4,0,5,12,12
4,0,5,13,14
4,0,5,14,11
4,0,5,15,10
4,0,5,16,8
4,0,5,17,11
4,0,5,18,11
4,0,5,19,13
4,0,5,20,11
4,0,5,21,11
4,0,5,22,13
4,0,5,23,9
4,0,5,24,10
4,0,5,25,12
4,0,5,26,10
4,0,5,27,12
4,0,5,28,14
4,0,5,29,13
4,0,5,30,11
4,0,5,31,11
4,0,6,0,15
4,0,6,1,13
4,0,6,2,12
4,0,6,3,15
4,0,6,4,14
4,0,6,5,11
4,0,6,6,13
4,0,6,7,13
4,0,6,8,14
4,0,6,9,13
4,0,6,10,10
4,0,6,11,9
4,0,6,12,11
4,0,6,13,12
4,0,6,14,13
4,0,6,15,14
4,0,6,16,12
4,0,6,17,10
4,0,6,18,11
4,0,6,19,9
4,0,6,20,7
4,0,6,21,12
4,0,6,22,13
4,0,6,23,11
4,0,6,24,11
4,0,6,25,11
4,0,6,26,9
4,0,6,27,8
4,0,6,28,12
4,0,6,29,11
4,0,6,30,11
4,0,6,31,11
4,0,7,0,11
4,0,7,1,12
4,0,7,2,12
4,0,7,3,14
4,0,7,4,13
4,0,7,5,14
4,0,7,6,12
4,0,7,7,15
4,0,7,8,13
4,0,7,9,13
4,0,7,10,12
4,0,7,11,9
4,0,7,12,7
4,0,7,13,5
4,0,7,14,11
4,0,7,15,13
4,0,7,16,11
4,0,7,17,13
4,0,7,18,13
4,0,7,19,15
4,0,7,20,12
4,0,7,21,14
4,0,7,22,12
4,0,7,23,11
4,0,7,24,14
4,0,7,25,12
4,0,7,26,10
4,0,7,27,12
4,0,7,28,9
4,0,7,29,9
4,0,7,30,11
4,0,7,31,11
5,0,0,0,9
5,0,0,1,11
5,0,0,2,8
5,0,0,3,11
5,0,0,4,7
5,0,0,5,4
5,0,0,6,5
5,0,0,7,5
5,0,0,8,8
5,0,0,9,10
5,0,0,10,9
5,0,0,11,9
5,0,0,12,9
5,0,0,13,12
5,0,0,14,11
5,0,0,15,12
5,0,0,16,12
5,0,0,17,13
5,0,0,18,14
5,0,0,19,15
5,0,0,20,16
5,0,0,21,17
5,0,0,22,18
5,0,0,23,18
5,0,0,24,16
5,0,0,25,15
5,0,0,26,18
5,0,0,27,18
5,0,0,28,13
5,0,0,29,14
5,0,0,30,11
5,0,0,31,7
5,0,1,0,8
5,0,1,1,9
5,0,1,2,10
5,0,1,3,9
5,0,1,4,10
5,0,1,5,11
5,0,1,6,11
5,0,1,7,12
5,0,1,8,12
5,0,1,9,11
5,0,1,10,12
5,0,1,11,11
5,0,1,12,13
5,0,1,13,14
5,0,1,14,12
5,0,1,15,12
5,0,1,16,13
5,0,1,17,12
5,0,1,18,15
5,0,1,19,15
5,0,1,20,15
5,0,1,21,13
5,0,1,22,15
5,0,1,23,14
5,0,1,24,14
5,0,1,25,12
5,0,1,26,12
5,0,1,27,13
5,0,1,28,12
5,0,1,29,14
5,0,1,30,12
